id,lecture_id,section_code,start_time,end_time,days
1,42,AI,10:30:00,13:15:00,-T-----
2,42,AJ,10:30:00,13:15:00,---J---
3,42,AK,13:30:00,16:15:00,--W----
4,42,AL,13:40:00,16:25:00,M------
5,42,AM,13:30:00,16:15:00,-T-----
6,42,AN,10:30:00,13:15:00,----F--
7,43,AN,13:30:00,16:15:00,---J---
8,43,AO,10:30:00,13:15:00,--W----
9,43,AP,10:30:00,13:15:00,M------
10,43,AQ,16:30:00,19:15:00,-T-----
11,44,MI,08:45:00,11:30:00,--W----
12,44,MJ,08:45:00,11:30:00,--W----
13,44,MK,08:45:00,11:30:00,----F--
14,44,ML,08:45:00,11:30:00,----F--
15,44,MM,11:45:00,14:30:00,----F--
16,44,MN,11:45:00,14:30:00,----F--
17,45,TH,14:45:00,17:30:00,-T-----
18,45,TI,08:45:00,11:30:00,-T-----
19,45,TJ,08:45:00,11:30:00,-T-----
20,45,TK,14:45:00,17:30:00,M------
21,45,TL,08:45:00,11:30:00,---J---
22,45,TM,14:45:00,17:30:00,-T-----
23,46,VI,11:45:00,14:30:00,-T-----
24,46,VJ,11:45:00,14:30:00,-T-----
25,46,VK,14:45:00,17:30:00,--W----
26,46,VL,14:45:00,17:30:00,--W----
27,46,VM,11:45:00,14:30:00,---J---
28,46,VN,11:45:00,14:30:00,---J---
29,47,XI,08:45:00,11:30:00,M------
30,47,XJ,08:45:00,11:30:00,M------
31,47,XM,14:45:00,17:30:00,---J---
32,47,XK,14:45:00,17:30:00,M------
33,47,XL,08:45:00,11:30:00,---J---
34,47,XN,14:45:00,17:30:00,---J---
35,48,LI,17:45:00,20:30:00,-T-----
36,48,LJ,17:45:00,20:30:00,-T-----
37,48,LK,14:45:00,17:30:00,----F--
38,48,LM,14:45:00,17:30:00,----F--
39,48,LN,17:45:00,20:30:00,---J---
40,48,LO,17:45:00,20:30:00,---J---
41,143,CI,21:10:00,23:00:00,-T-J---
42,143,CJ,21:10:00,23:00:00,-T-J---
43,144,DI,17:45:00,19:35:00,---J---
44,144,DJ,19:45:00,21:35:00,---J---
45,145,NI,21:15:00,23:05:00,--W----
46,145,NJ,14:15:00,16:05:00,M------
47,146,WI,21:15:00,23:05:00,-T-----
48,146,WJ,14:15:00,16:05:00,----F--
49,155,CI,10:15:00,12:05:00,M-W----
50,155,CJ,08:15:00,10:05:00,M-W----
51,156,FI,16:15:00,18:05:00,---J---
52,156,FJ,13:15:00,15:05:00,----F--
53,157,WI,17:15:00,19:05:00,--W----
54,157,WJ,17:15:00,19:05:00,M------
55,158,BI,21:10:00,23:00:00,--W----
56,158,BJ,21:10:00,23:00:00,--W----
57,159,EI,14:20:00,15:50:00,----F--
58,159,EJ,16:00:00,17:30:00,----F--
59,160,PI,21:30:00,23:00:00,---J---
60,160,PJ,21:30:00,23:00:00,---J---
63,191,HI,10:00:00,12:00:00,-T-----
64,191,HJ,10:00:00,12:00:00,--W----
65,191,HK,18:00:00,20:00:00,--W----
66,191,HL,16:15:00,18:15:00,M------
67,191,HM,10:00:00,12:00:00,---J---
68,191,HN,12:15:00,14:15:00,--W----
69,192,DI,10:00:00,12:00:00,-T-----
70,192,DJ,10:00:00,12:00:00,M------
71,192,DK,10:00:00,12:00:00,--W----
72,192,DL,10:00:00,12:00:00,M------
73,192,DM,18:00:00,20:15:00,--W----
74,210,SI,15:45:00,18:25:00,---J---
75,210,SK,15:45:00,18:25:00,-T-----
76,211,MI,21:10:00,23:00:00,--W----
77,211,MJ,14:45:00,16:35:00,---J---
78,212,HI,15:45:00,17:30:00,-T-----
79,213,NI,20:30:00,22:20:00,--W----
80,218,CI,08:45:00,11:30:00,--W----
81,218,CL,12:30:00,15:15:00,--W----
82,218,CJ,08:45:00,11:30:00,-T-----
83,218,CK,08:45:00,11:30:00,---J---
84,219,TI,11:45:00,14:30:00,-T-----
85,219,TJ,11:45:00,14:30:00,---J---
86,219,TK,08:45:00,11:30:00,----F--
87,220,VI,08:45:00,11:30:00,M------
88,220,VJ,14:45:00,17:30:00,M------
89,220,VK,14:45:00,17:30:00,M------
90,220,VL,08:45:00,11:30:00,M------
91,221,JI,08:45:00,11:30:00,M------
92,221,JL,17:45:00,20:30:00,--W----
93,221,JM,17:45:00,20:30:00,M------
94,221,JJ,08:45:00,11:30:00,M------
95,221,JK,17:45:00,20:30:00,---J---
96,221,JN,17:45:00,20:30:00,---J---
97,269,EI,17:45:00,20:30:00,M------
98,269,EL,17:45:00,20:30:00,--W----
99,270,HI,17:45:00,20:30:00,---J---
100,270,HL,13:15:00,16:00:00,---J---
